Sample_ID	PlantHeight_BLUP_effect	PlantHeight_BLUP	HeadingDate_BLUP_effect	HeadingDate_BLUP	YieldPerPlant_BLUP_effect	YieldPerPlant_BLUP
D1731	-6.739196793157095	91.41526025041658	10.483360506391355	96.78106346494424	2.3472609554669748	22.363477196287512
D1598	-10.759746596219616	87.39471044735406	9.020935254655305	95.31863821320819	-0.4095874122812533	19.606628828539282
D1612	-5.281111441805176	92.87334560176849	12.803519001211734	99.10122195976463	7.780764208901298	27.796980449721836
D1734	-5.1963328475228385	92.95812419605083	12.118000736637558	98.41570369519044	-0.6923147110675243	19.323901529753012
D2334	26.545519753617018	124.69997679719069	9.45566224481795	95.75336520337083	1.0606031339738218	21.076819374794358
D1614	-6.1181430580522544	92.03631398552142	9.093002778573739	95.39070573712662	4.212808094346559	24.229024335167097
D3980	7.221220375205125	105.37567741877879	4.485648295888728	90.78335125444161	2.1654563973975436	22.18167263821808
D3965	-1.4849198749493526	96.66953716862432	-5.962950122221785	80.3347528363311	1.5187073822377914	21.53492362305833
D3865	2.015955876643711	100.17041292021739	10.954994651768276	97.25269761032116	0.01686451521210129	20.03308075603264
D3982	3.4861211061710105	101.64057814974468	8.430371683620171	94.72807464217306	3.5975087985674885	23.613725039388026
D2711	20.187274449104937	118.3417314926786	11.541993423858825	97.83969638241172	2.542968826825656	22.559185067646194
D3973	20.177836805088432	118.3322938486621	13.479617619916477	99.77732057846937	1.9827285641299819	21.99894480495052
D2710	21.66823447814005	119.82269152171372	20.344827366257782	106.64253032481068	3.95883152358358	23.975047764404117
D3970	17.400858038203513	115.55531508177718	7.641427006073858	93.93912996462674	1.3308624173608679	21.347078658181406
D3956	22.03125023547532	120.18570727904898	10.954994651768292	97.25269761032118	-0.3321661775461639	19.684050063274373
D3836	-12.91483896692259	85.23961807665108	-12.36833174359062	73.92937121496227	-1.2789150372440028	18.737301203576536
D3844	10.832235185764162	108.98669222933783	8.430371683620177	94.72807464217307	0.7908914044466093	20.807107645267145
D3979	-3.914967100594644	94.23948994297903	11.586150393805294	97.88385335235819	0.4469935159936116	20.463209756814148
D3838	3.8472324045365123	102.00168944811018	1.1238550758883366	87.42155803444123	0.14084342854958715	20.157059669370124
D3858	7.862636285065829	106.0170933286395	5.076111820988193	91.37381477954108	-1.162541392506823	18.853674848313712
D3983	20.210821281391834	118.3652783249655	7.6414270060738945	93.93912996462679	0.9130521469120024	20.929268387732538
D3859	7.687522322730386	105.84197936630406	5.348681251684745	91.64638421023764	-1.681102353455696	18.33511388736484
D3864	16.13331173454052	114.28776877811418	12.375095071351609	98.6727980299045	-1.2704428045492666	18.74577343627127
D3866	22.21502088916625	120.36947793273993	8.903738490147953	95.20144144870085	-0.48409718498211546	19.53211905583842
D3962	-0.9202112832319055	97.23424576034176	3.8495493828537515	90.14725234140664	-0.19710563576718237	19.819110605053353
D3981	7.851066803667135	106.00552384724081	8.903738490147951	95.20144144870085	1.8893115257740924	21.90552776659463
D1313	-12.321756526720007	85.83270051685366	6.650363515921623	92.94806647447452	0.9566960898602263	20.972912330680764
D3966	3.6290538368195118	101.78351088039318	4.801226166907235	91.09892912546013	-0.723285865607634	19.292930375212904
D3963	9.012415557144358	107.16687260071802	9.437222712132908	95.7349256706858	-0.7817668269267721	19.234449413893763
D3971	18.658980205779773	116.81343724935344	17.26655207213858	103.56425503069147	0.9787520420194409	20.994968282839977
D3978	2.3693609798954727	100.52381802346915	3.854492553851701	90.15219551240459	3.4394184259652167	23.455634666785755
D3958	9.734590967706104	107.88904801127978	7.665521412605359	93.96322437115825	2.1992604566608174	22.215476697481353
D3974	4.0169164765670065	102.17137352014068	0.306146783798709	86.6038497423516	-0.41681907703097637	19.59939716378956
D3959	6.306972712690387	104.46142975626405	-0.10270736224611082	86.19499559630678	-0.3442019227149776	19.67201431810556
D3837	-5.717519367677681	92.43693767589599	-5.0089571147839145	81.28874584376898	-0.5108489819786194	19.50536725884192
D3849	8.495218505595462	106.64967554916913	4.122118813550315	90.4198217721032	-3.939682050514876	16.07653419030566
D3967	12.173603888773092	110.32806093234676	2.9077589407961426	89.20546189934903	-0.6011251231422393	19.415091117678298
D3841	0.41961414952077497	98.57407119309444	0.9875703605400531	87.28527331909294	-1.3524631807179008	18.663753060102636
D3857	6.491588983059526	104.6460460266332	4.394688244246855	90.69239120279974	-1.662482570297747	18.35373367052279
D3843	4.277748537454946	102.43220558102861	5.116804037925746	91.41450699647864	0.9664333116867954	20.982649552507333
D3972	19.601393814451065	117.75585085802473	14.584140168481229	100.88184312703412	-0.6267891446685828	19.389427096151955
D3863	2.3974516931080605	100.55190873668174	-1.3292698003805703	84.96843315817232	-1.9715709707196956	18.04464527010084
D3842	-6.339241807597366	91.81521523597631	-4.327533538042534	81.97016942051036	-1.4018056060864652	18.61441063473407
D3964	16.824670233427724	114.9791272770014	8.892083850739843	95.18978680929273	0.6687142810774326	20.684930521897968
D3211	-0.04123582066272545	98.11322122291095	-3.3691907300917703	82.92851222846112	-0.3414089552412855	19.674807285579252
D3861	18.79877155773265	116.95322860130632	12.690672942370105	98.98837590092299	-1.057944706311147	18.95827153450939
D3969	20.633336715946175	118.78779375951984	16.004240588064576	102.30194354661747	-0.5764876624769508	19.439728578343587
D1236	-7.8581168156186845	90.29634022795499	0.3646723449754583	86.66237530352835	2.1325291123459635	22.1487453531665
D3851	8.561734661831403	106.71619170540508	5.621250682381292	91.91895364093418	-1.8961608489300037	18.12005539189053
D1454	-0.48560566631709406	97.66885137725657	0.2515763215576623	86.54927928011055	4.301457614993277	24.317673855813815
D3847	13.639057050257067	111.79351409383074	7.957004877092397	94.25470783564529	-2.285711496131399	17.73050474468914
D3960	10.952243868596826	109.1067009121705	0.5787162144952394	86.87641917304813	-0.5806731688209261	19.43554307199961
