samples	Plant_height
ZJM955	124.33
ZJM960	109.67
ZJM962	106.0
ZJM963	112.33
ZJM965	114.0
ZJM966	109.67
ZJM967	104.33
ZJM971	127.33
ZJM972	88.33
ZJM973	113.33
ZJM975	113.33
ZJM977	92.0
ZJM978	119.67
ZJM983	111.67
ZJM985	127.33
ZJM992	113.0
ZJM993	125.0
ZJM996	118.33
ZJM997	117.33
ZJM998	118.67
ZJM1001	126.67
ZJM1003	117.67
ZJM1005	117.0
ZJM1006	117.33
ZJM1008	132.33
ZJM1009	122.33
ZJM1012	111.0
ZJM1014	122.67
ZJM1016	109.0
ZJM1017	111.33
ZJM1021	96.0
ZJM1022	96.33
ZJM1023	108.67
ZJM1024	115.33
ZJM1025	111.33
ZJM1026	104.33
ZJM1027	112.33
ZJM1029	95.0
ZJM1030	108.67
ZJM1033	109.0
ZJM1036	119.0
ZJM1038	130.0
ZJM1039	132.33
ZJM1040	118.0
ZJM1050	118.0
ZJM1061	102.67
ZJM1069	130.33
ZJM1070	120.33
ZJM1072	125.33
ZJM1073	131.33
ZJM1080	130.33
ZJM1081	127.67
ZJM1082	123.0
ZJM1086	109.67
ZJM1089	98.33
ZJM1090	90.67
ZJM1091	108.67
ZJM1092	100.67
ZJM1093	100.67
ZJM1094	123.0
ZJM1096	103.0
ZJM1098	111.67
ZJM1099	109.0
ZJM1102	110.0
ZJM1103	118.33
ZJM1107	111.33
ZJM1108	115.33
ZJM1111	116.0
ZJM1112	116.33
ZJM1115	106.67
ZJM1117	117.0
ZJM1119	106.33
ZJM1120	128.0
ZJM1122	104.0
ZJM1123	110.0
ZJM1138	125.0
ZJM1139	121.67
ZJM1142	130.0
ZJM1144	118.33
ZJM1145	123.33
ZJM1147	131.33
ZJM1148	124.67
ZJM1149	102.67
ZJM1153	120.67
ZJM1154	117.0
ZJM1155	100.0
ZJM1159	103.67
ZJM1160	121.0
ZJM1162	122.67
ZJM1163	126.33
ZJM1166	129.33
ZJM1168	129.67
ZJM1169	133.67
ZJM1172	113.0
ZJM1173	124.67
ZJM1174	122.0
ZJM1179	99.33
ZJM1181	127.67
ZJM1182	110.33
ZJM1183	120.67
ZJM1186	104.0
ZJM1187	104.67
ZJM1188	126.67
ZJM1190	95.67
ZJM1192	139.0
ZJM1193	119.0
ZJM1195	128.0
ZJM1196	120.0
ZJM1198	117.33
ZJM1199	121.0
ZJM1201	109.0
ZJM1202	110.33
ZJM1206	121.67
ZJM1207	105.0
ZJM1211	117.67
ZJM1213	115.0
ZJM1214	94.67
ZJM1215	90.5
ZJM1219	122.0
ZJM1227	109.0
ZJM1228	123.0
ZJM1230	128.0
ZJM1231	122.0
ZJM1234	121.33
ZJM1235	113.0
ZJM1237	106.67
ZJM1241	129.0
ZJM1244	84.67
ZJM1256	97.33
ZJM1259	113.0
ZJM1262	122.67
ZJM1270	112.67
ZJM1272	106.33
ZJM1276	112.0
ZJM1288	106.33
ZJM1291	131.0
ZJM1297	98.67
ZJM1302	105.33
ZJM1318	130.33
ZJM1319	104.0
ZJM1321	118.0
ZJM1324	129.0
ZJM1325	133.0
ZJM1332	136.0
ZJM1335	121.0
ZJM1337	125.67
ZJM1341	114.67
ZJM1344	134.33
ZJM1347	132.67
ZJM1351	118.67
ZJM1373	124.33
ZJM1376	120.0
ZJM1377	123.0
ZJM1381	122.0
ZJM1388	134.33
ZJM1393	123.33
ZJM1412	121.0
ZJM1426	125.0
ZJM1439	135.67
ZJM1441	122.67
ZJM1442	116.0
ZJM1450	121.0
ZJM1457	116.0
ZJM1484	96.33
ZJM1485	107.33
ZJM1486	120.33
ZJN1	113.0
ZJN2	97.67
ZJN12	106.33
ZJN14	110.67
ZJN17	112.33
ZJN19	112.67
ZJN23	110.33
ZJN25	106.0
ZJN28	113.33
ZJN35	103.67
ZJN48	122.0
ZJN53	122.67
ZJN56	116.0
ZJN61	118.0
ZJN64	119.33
ZJN65	124.67
ZJN69	115.0
ZJN71	113.0
ZJN80	106.67
ZJN81	118.67
ZJN86	111.0
ZJN87	103.0
ZJN88	109.67
ZJN94	111.33
ZJN95	107.67
ZJN96	117.33
ZJN101	127.33
ZJN103	117.67
ZJN104	112.67
ZJN107	100.33
ZJN108	126.0
ZJN110	101.0
ZJN113	113.33
ZJN115	107.0
ZJN121	105.33
ZJN122	101.67
ZJN123	100.33
ZJN125	106.5
ZJN126	109.33
ZJN132	113.67
ZJN134	107.67
ZJN136	116.33
ZJN139	109.67
ZJN140	135.67
ZJN144	112.0
ZJN145	114.67
ZJN150	131.0
ZJN151	102.0
ZJN152	113.67
ZJN154	108.0
ZJN155	122.0
ZJN156	99.33
ZJN157	108.0
ZJN158	131.33
ZJN162	100.0
ZJN163	102.5
ZJN166	107.5
ZJN170	101.5
ZJN171	94.0
ZJN174	89.0
ZJN179	97.0
ZJN180	101.0
ZJN182	86.0
ZJN191	84.1
ZJN192	78.5
ZJN195	89.5
ZJN196	81.0
ZJN201	89.0
ZJN206	94.0
ZJN208	86.0
ZJN211	88.5
ZJN214	84.5
ZJN215	97.0
ZJN218	87.5
ZJN219	84.0
ZJN220	82.0
ZJN222	90.5
ZJN223	88.0
ZJN225	80.5
ZJN231	84.5
ZJN232	87.5
ZJN233	93.0
ZJN236	103.0
ZJN240	102.0
ZJN241	92.0
ZJN244	92.0
ZJN247	90.5
ZJN249	93.0
ZJN251	89.5
ZJN253	87.0
ZJN258	100.0
ZJN260	87.0
ZJN262	102.0
ZJN266	99.0
ZJN267	91.0
ZJN270	99.0
ZJN271	103.0
ZJN274	88.0
ZJN276	92.5
ZJN283	90.5
ZJN285	88.0
ZJN287	101.0
ZJN301	124.0
ZJN304	126.33
ZJN307	114.33
ZJN309	114.67
ZJN311	114.33
ZJN313	113.33
ZJN315	113.0
ZJN316	123.33
ZJN319	113.0
ZJN321	121.33
ZJN322	117.67
ZJN323	120.67
ZJN324	110.67
ZJN328	113.33
ZJN331	107.33
ZJN332	112.67
ZJN333	107.33
ZJN334	120.0
ZJN335	105.67
ZJN337	125.67
ZJN338	122.33
ZJN339	114.0
ZJN341	124.0
ZJN344	132.0
ZJN345	133.0
ZJN346	120.67
ZJN348	125.5
ZJN349	119.67
ZJN351	111.0
ZJN353	105.67
ZJN356	113.0
ZJN363	110.67
ZJN372	134.0
ZJN376	117.67
ZJN377	134.33
ZJN378	112.0
ZJN380	98.0
ZJN381	98.67
ZJN382	106.67
ZJN387	106.0
ZJN394	125.0
ZJN396	131.0
ZJN397	128.33
ZJN398	116.33
ZJN399	132.0
ZJN402	120.67
ZJN403	131.0
ZJN409	129.67
ZJN410	143.5
ZJN414	122.33
ZJN415	115.67
ZJN416	121.67
ZJN417	116.67
ZJN418	123.0
ZJN421	121.33
ZJN425	124.0
ZJN426	120.67
ZJN427	136.67
ZJN430	115.67
ZJN434	137.33
ZJN440	123.33
ZJN441	112.33
ZJN449	138.0
ZJN450	114.0
ZJN454	134.33
ZJN455	140.67
ZJN456	129.0
ZJN457	120.33
ZJN459	134.33
ZJN467	123.67
ZJN468	126.0
ZJN469	125.33
ZJN472	144.0
ZJN474	128.67
ZJN476	129.33
ZJN477	134.0
ZJN479	126.67
ZJN480	123.33
ZJN483	131.0
ZJN484	135.67
ZJN485	130.33
ZJN486	124.67
ZJN487	125.33
ZJN489	129.33
ZJN490	127.0
ZJN492	126.67
ZJN495	127.67
ZJN500	129.67
ZJN503	113.33
ZJN504	129.67
ZJN513	127.0
ZJN521	113.67
ZJN523	121.33
ZJN524	120.67
ZJN525	123.0
ZJN527	138.0
ZJN534	117.67
ZJN536	115.33
ZJN538	133.33
ZJN540	135.67
ZJN544	140.5
ZJN557	134.0
ZJN568	117.33
ZJN569	116.67
ZJN581	132.0
ZJN582	130.0
ZJN583	126.0
ZJN598	110.67
ZJN601	123.0
ZJN602	127.67
ZJN611	124.67
ZJN612	122.0
ZJN613	125.33
ZJN614	124.0
ZJN615	119.33
ZJN622	127.0
ZJN625	131.5
ZJN627	141.67
ZJN638	130.33
ZJN645	123.33
ZJN646	129.67
ZJN647	130.67
ZJN651	121.0
ZJN657	132.0
ZJN659	106.0
ZJN661	112.67
ZJN663	121.0
ZJN669	134.0
ZJN670	118.67
ZJN672	128.33
ZJN681	133.0
ZJN683	132.67
ZJN684	112.33
ZJN685	127.33
ZJN687	123.67
ZJN688	119.67
ZJN690	132.0
ZJN691	130.33
ZJN693	127.33
ZJN694	137.5
ZJN695	133.33
ZJN697	132.67
ZJN698	130.0
ZJN705	108.67
ZJN716	132.0
ZJN717	136.0
ZJN718	111.67
ZJN723	124.33
ZJN724	121.67
ZJN726	127.67
ZJN733	101.0
ZJN734	112.33
ZJN737	104.0
ZJN741	127.33
ZJN742	126.0
ZJN743	126.33
ZJN744	118.33
ZJN745	108.0
ZJN747	128.67
ZJN748	109.33
ZJN749	112.33
ZJN750	133.67
ZJN751	128.67
ZJN754	131.0
ZJN758	128.0
ZJN759	120.0
ZJN760	115.0
ZJN761	118.33
ZJN763	117.0
ZJN768	105.67
ZJN771	122.0
ZJN772	121.67
ZJN773	117.67
ZJN774	108.33
ZJN775	110.67
ZJN777	115.67
ZJN779	101.67
ZJN780	109.0
ZJN781	104.0
ZJN784	125.0
ZJN786	101.33
ZJN787	116.67
ZJN793	117.33
ZJN794	109.67
ZJN796	108.33
ZJN801	119.33
ZJN803	123.33
ZJN805	116.0
ZJN807	116.33
ZJN813	114.0
ZJN814	122.33
ZJN816	134.0
ZJN817	121.67
ZJN818	117.67
ZJN821	112.33
ZJN822	105.0
ZJN825	115.67
ZJN827	114.33
ZJN829	114.0
ZJN831	115.67
ZJN833	110.0
ZJN835	115.33
ZJN836	117.0
ZJN840	119.33
ZJN841	123.67
ZJN843	109.67
ZJN845	120.33
ZJN847	116.67
ZJN849	117.0
ZJN850	109.67
ZJN853	110.67
ZJN854	113.33
ZJN856	117.33
ZJN859	118.33
ZJN860	115.67
ZJN862	124.67
ZJN863	117.0
ZJN865	112.0
ZJN866	111.33
ZJN869	134.33
ZJN871	119.0
ZJN872	117.0
ZJN877	128.67
ZJN878	112.0
ZJN879	124.67
ZJN880	121.33
ZJN881	104.33
ZJN885	115.33
ZJN887	114.33
ZJN891	122.67
ZJN896	114.67
ZJN898	123.0
ZJN899	132.0
ZJN900	114.67
ZJN901	121.0
ZJN906	129.0
ZJN910	112.67
ZJN915	115.67
ZJN916	112.33
ZJN917	109.67
ZJN918	106.33
ZJN921	111.67
ZJN923	109.67
ZJN926	112.0
ZJN928	120.67
ZJN929	120.67
ZJN932	120.33
ZJN933	118.67
ZJN937	132.5
ZJN938	111.67
ZJN939	107.67
ZJN940	112.0
ZJN942	127.0
ZJN943	105.33
ZJN944	107.67
ZJN945	120.33
ZJN947	107.67
ZJN949	108.5
ZJN950	125.67
ZJN951	121.0
ZJN952	117.33
ZJN953	132.67
ZJN961	115.67
ZJN962	129.0
ZJN963	115.67
ZJN966	120.33
ZJN967	120.67
ZJN970	112.0
ZJN973	102.0
ZJN981	123.0
ZJN983	109.33
ZJN986	105.67
ZJN987	113.0
ZJN988	109.0
ZJN989	107.67
ZJN992	118.33
ZJN995	116.67
ZJN996	125.67
ZJN998	120.33
ZJN999	123.33
ZJN1001	120.0
ZJN1004	124.33
ZJN1005	115.33
ZJN1008	88.67
ZJN1011	121.33
ZJN1013	127.33
ZJN1014	116.33
ZJN1015	128.67
ZJN1016	129.67
ZJN1019	120.67
ZJN1023	122.33
ZJN1027	113.67
ZJN1029	124.0
ZJN1032	119.0
ZJN1036	125.0
ZJN1037	115.0
ZJN1038	132.0
ZJN1039	122.67
ZJN1042	116.0
ZJN1044	122.67
ZJN1045	116.0
ZJN1046	126.67
ZJN1055	119.5
ZJN1059	119.33
ZJN1072	114.33
ZJN1074	124.33
ZJN1075	134.33
ZJN1078	124.33
ZJN1080	119.33
ZJN1082	124.0
ZJN1085	118.0
ZJN1086	129.67
ZJN1087	140.0
ZJN1088	119.33
ZJN1089	133.33
ZJN1091	125.33
ZJN1092	120.0
ZJN1095	126.0
ZJN1100	130.33
ZJN1101	102.0
ZJN1105	112.0
ZJN1106	128.0
ZJN1111	133.0
ZJN1112	133.67
ZJN1114	125.33
ZJN1116	104.67
ZJN1118	127.67
ZJN1119	123.67
ZJN1123	107.33
ZJN1128	118.33
ZJN1129	130.0
ZJN1130	116.0
ZJN1131	122.67
ZJN1142	123.0
ZJN1143	119.33
ZJN1146	118.0
ZJN1157	115.67
ZJN1163	118.33
ZJN1164	117.67
ZJN1165	135.33
ZJN1166	116.33
ZJN1172	115.33
ZJN1177	119.67
ZJN1179	125.33
ZJN1180	121.0
ZJN1189	131.67
ZJN1190	125.33
ZJN1191	123.0
ZJN1192	115.0
ZJN1195	122.33
ZJN1198	121.0
ZJN1199	117.33
ZJN1204	122.0
ZJN1205	132.0
ZJN1208	128.33
ZJN1209	126.0
ZJN1210	129.33
ZJN1214	125.33
ZJN1218	112.0
ZJN1219	129.0
ZJN1220	136.67
ZJN1224	124.67
ZJN1226	119.0
ZJN1227	126.0
ZJN1228	124.33
ZJN1231	123.67
ZJN1234	106.0
ZJN1245	107.67
ZJN1247	120.33
ZJN1253	116.33
ZJN1254	119.67
ZJN1256	113.0
ZJN1263	114.0
ZJN1266	110.67
ZJN1268	109.33
ZJN1271	97.33
ZJN1273	104.33
ZJN1274	106.67
ZJN1278	91.67
ZJN1280	104.5
ZJN1282	112.33
ZJN1287	100.0
ZJN1289	100.67
ZJN1292	105.33
ZJN1293	105.67
ZJN1294	99.33
ZJN1297	103.33
ZJN1298	104.0
ZJN1300	102.0
ZJN1307	104.67
ZJN1310	115.33
ZJN1312	103.33
ZJN1315	96.33
ZJN1317	101.67
ZJN1319	101.0
ZJN1320	103.67
ZJN1322	103.67
ZJN1327	115.67
ZJN1328	109.67
ZJN1329	100.67
ZJN1334	102.0
ZJN1335	99.0
ZJN1336	102.33
ZJN1337	101.33
ZJN1339	107.67
ZJN1340	102.33
ZJN1341	106.67
ZJN1344	105.0
ZJN1347	98.67
ZJN1354	97.67
ZJN1356	105.0
ZJN1359	90.67
ZJN1362	97.67
ZJN1363	99.67
ZJN1366	105.0
ZJN1369	102.33
ZJN1371	106.33
ZJN1378	110.33
ZJN1379	102.0
ZJN1380	106.0
ZJN1381	108.0
ZJN1382	110.0
ZJN1384	102.33
ZJN1386	97.33
ZJN1387	107.33
ZJN1391	99.67
ZJN1393	109.33
ZJN1394	100.67
ZJN1395	112.67
ZJN1399	95.33
ZJN1400	91.33
ZJN1401	85.67
ZJN1402	115.33
ZJN1403	102.67
ZJN1404	107.0
ZJN1405	103.33
ZJN1409	114.33
ZJN1410	108.33
ZJN1417	114.33
ZJN1421	107.0
ZJN1422	101.0
ZJN1428	110.0
ZJN1429	104.33
ZJN1432	130.5
ZJN1433	108.0
ZJN1439	118.0
ZJN1440	107.67
ZJN1444	100.33
ZJN1446	112.0
ZJN1447	117.67
ZJN1448	113.0
ZJN1452	108.33
ZJN1453	108.0
ZJN1454	105.33
ZJN1455	110.67
ZJN1456	113.0
ZJN1457	110.67
ZJN1460	107.0
ZJN1462	123.67
ZJN1464	100.67
ZJN1470	110.67
ZJN1471	108.33
ZJN1472	106.0
ZJN1476	114.67
ZJN1483	99.0
ZJN1487	103.33
ZJN1488	115.0
ZJN1491	102.33
ZJN1497	106.67
ZJN1501	105.67
ZJN1503	107.33
ZJN1504	105.33
ZJN1507	104.67
ZJN1508	108.0
ZJN1509	98.0
ZJN1511	101.67
ZJN1513	103.33
ZJN1515	112.67
ZJN1516	112.33
ZJN1521	109.0
ZJN1522	96.0
ZJN1524	109.0
ZJN1525	101.67
ZJN1526	127.33
ZJN1527	107.33
ZJN1528	114.33
ZJN1529	95.0
ZJN1530	109.67
ZJN1536	140.33
ZJN1537	108.0
ZJN1538	105.0
ZJN1540	108.67
ZJN1543	121.67
ZJN1545	110.0
ZJN1546	106.67
ZJN1547	106.0
ZJN1548	113.0
ZJN1550	113.0
ZJN1551	108.33
ZJN1552	103.33
ZJN1554	115.33
ZJN1555	101.67
ZJN1556	108.67
ZJN1558	123.0
ZJN1559	107.0
ZJN1562	113.0
ZJN1564	120.67
ZJN1568	118.67
ZJN1570	97.0
ZJN1571	110.33
ZJN1572	113.67
ZJN1573	100.33
