samples	Yield_per_plant
ZJM951	30.68
ZJM955	18.97
ZJM960	25.0
ZJM962	22.55
ZJM963	29.4
ZJM965	43.06
ZJM966	43.28
ZJM967	24.02
ZJM971	38.24
ZJM972	33.71
ZJM973	42.29
ZJM975	27.71
ZJM977	18.45
ZJM978	35.3
ZJM983	28.29
ZJM985	25.91
ZJM992	32.95
ZJM993	48.92
ZJM996	24.0
ZJM997	39.37
ZJM998	27.58
ZJM1001	40.6
ZJM1003	33.21
ZJM1005	44.25
ZJM1006	48.65
ZJM1008	28.28
ZJM1009	50.4
ZJM1012	38.27
ZJM1014	72.96
ZJM1016	59.25
ZJM1017	47.46
ZJM1021	30.7
ZJM1022	30.7
ZJM1023	29.33
ZJM1024	51.47
ZJM1025	38.09
ZJM1026	26.25
ZJM1027	53.0
ZJM1029	26.82
ZJM1030	45.38
ZJM1033	30.86
ZJM1036	32.08
ZJM1038	50.16
ZJM1039	40.52
ZJM1040	47.71
ZJM1050	40.8
ZJM1061	31.85
ZJM1069	30.31
ZJM1070	29.61
ZJM1072	40.37
ZJM1073	31.75
ZJM1080	39.33
ZJM1081	26.13
ZJM1082	30.65
ZJM1086	25.98
ZJM1089	28.41
ZJM1090	19.08
ZJM1091	29.78
ZJM1092	35.29
ZJM1093	17.86
ZJM1094	30.18
ZJM1096	23.04
ZJM1098	34.58
ZJM1099	29.19
ZJM1102	33.58
ZJM1103	37.3
ZJM1107	35.31
ZJM1108	24.74
ZJM1111	28.76
ZJM1112	31.91
ZJM1115	15.47
ZJM1117	49.53
ZJM1119	26.23
ZJM1120	35.33
ZJM1122	28.27
ZJM1123	37.18
ZJM1138	34.73
ZJM1139	46.41
ZJM1142	33.66
ZJM1144	49.75
ZJM1145	48.47
ZJM1147	21.24
ZJM1148	35.77
ZJM1149	36.23
ZJM1153	56.52
ZJM1154	37.45
ZJM1155	32.6
ZJM1159	15.1
ZJM1160	30.36
ZJM1162	51.27
ZJM1163	43.88
ZJM1166	42.95
ZJM1168	32.06
ZJM1169	51.75
ZJM1172	32.3
ZJM1173	35.48
ZJM1174	43.51
ZJM1179	24.83
ZJM1181	31.24
ZJM1182	28.49
ZJM1183	35.09
ZJM1186	29.96
ZJM1187	34.09
ZJM1188	39.89
ZJM1190	29.47
ZJM1192	41.73
ZJM1193	30.97
ZJM1195	39.14
ZJM1196	24.97
ZJM1198	20.19
ZJM1199	37.13
ZJM1201	30.51
ZJM1202	35.37
ZJM1206	46.04
ZJM1207	34.15
ZJM1211	31.11
ZJM1213	34.71
ZJM1214	35.05
ZJM1215	21.1
ZJM1219	34.76
ZJM1227	33.05
ZJM1228	32.25
ZJM1230	30.28
ZJM1231	38.6
ZJM1234	32.39
ZJM1235	24.52
ZJM1237	24.32
ZJM1241	34.01
ZJM1244	25.91
ZJM1256	32.06
ZJM1259	30.06
ZJM1262	31.02
ZJM1270	29.8
ZJM1272	43.86
ZJM1276	39.9
ZJM1288	46.29
ZJM1291	54.09
ZJM1297	32.26
ZJM1302	42.22
ZJM1318	41.84
ZJM1319	43.64
ZJM1321	35.69
ZJM1324	53.63
ZJM1325	48.04
ZJM1332	28.69
ZJM1335	53.37
ZJM1337	45.5
ZJM1341	44.74
ZJM1344	42.76
ZJM1347	42.67
ZJM1351	22.63
ZJM1373	21.65
ZJM1376	29.96
ZJM1377	37.07
ZJM1381	54.93
ZJM1388	46.72
ZJM1393	33.51
ZJM1412	44.93
ZJM1426	44.7
ZJM1439	31.17
ZJM1441	24.21
ZJM1442	31.31
ZJM1450	41.39
ZJM1457	35.64
ZJM1484	14.79
ZJM1485	36.09
ZJM1486	54.71
ZJN1	43.4
ZJN2	30.71
ZJN12	32.96
ZJN14	28.42
ZJN17	40.78
ZJN19	42.5
ZJN23	45.36
ZJN25	36.65
ZJN28	49.46
ZJN35	37.93
ZJN48	31.23
ZJN53	37.42
ZJN56	34.17
ZJN61	39.42
ZJN64	54.29
ZJN65	44.19
ZJN69	43.47
ZJN71	42.88
ZJN80	32.71
ZJN81	66.99
ZJN86	36.02
ZJN87	33.82
ZJN88	35.12
ZJN94	52.39
ZJN95	34.66
ZJN96	38.18
ZJN101	41.84
ZJN103	34.99
ZJN104	21.81
ZJN107	26.24
ZJN108	43.27
ZJN110	51.88
ZJN113	51.86
ZJN115	38.5
ZJN121	38.69
ZJN122	36.66
ZJN123	32.62
ZJN125	41.42
ZJN126	36.43
ZJN132	53.51
ZJN134	30.35
ZJN136	44.03
ZJN139	37.27
ZJN140	38.78
ZJN144	33.23
ZJN145	25.92
ZJN150	48.34
ZJN151	31.44
ZJN152	27.54
ZJN154	62.14
ZJN155	32.09
ZJN156	15.81
ZJN157	42.47
ZJN158	32.76
ZJN162	19.55
ZJN163	33.24
ZJN166	32.82
ZJN170	29.25
ZJN171	23.23
ZJN174	25.73
ZJN179	21.37
ZJN180	28.84
ZJN182	14.78
ZJN191	25.06
ZJN192	23.17
ZJN195	32.57
ZJN196	34.43
ZJN201	23.66
ZJN206	23.78
ZJN208	15.88
ZJN211	24.6
ZJN214	25.39
ZJN215	22.65
ZJN218	31.13
ZJN219	24.69
ZJN220	22.32
ZJN222	13.8
ZJN223	16.0
ZJN225	27.66
ZJN231	21.52
ZJN232	23.36
ZJN233	21.7
ZJN236	29.57
ZJN240	21.86
ZJN241	21.98
ZJN244	24.84
ZJN247	17.54
ZJN249	24.22
ZJN251	31.1
ZJN253	7.28
ZJN258	29.9
ZJN260	27.86
ZJN262	15.15
ZJN266	29.19
ZJN267	16.99
ZJN270	24.23
ZJN271	47.37
ZJN274	38.94
ZJN276	31.01
ZJN283	17.25
ZJN285	29.58
ZJN287	25.35
ZJN301	37.84
ZJN304	32.7
ZJN307	39.48
ZJN309	48.45
ZJN311	33.22
ZJN313	51.68
ZJN315	47.85
ZJN316	41.58
ZJN319	34.88
ZJN321	49.12
ZJN322	44.8
ZJN323	40.63
ZJN324	31.7
ZJN328	40.45
ZJN331	41.61
ZJN332	24.03
ZJN333	30.1
ZJN334	25.15
ZJN335	32.81
ZJN337	47.52
ZJN338	25.97
ZJN339	28.33
ZJN341	39.3
ZJN344	50.64
ZJN345	28.06
ZJN346	28.86
ZJN348	36.89
ZJN349	55.89
ZJN351	25.91
ZJN353	33.24
ZJN356	37.9
ZJN363	28.03
ZJN372	25.13
ZJN376	29.4
ZJN377	28.47
ZJN378	34.11
ZJN380	35.77
ZJN381	32.41
ZJN382	43.53
ZJN387	28.68
ZJN394	42.62
ZJN396	54.89
ZJN397	51.86
ZJN398	29.4
ZJN399	29.83
ZJN402	50.4
ZJN403	25.4
ZJN409	36.22
ZJN410	41.03
ZJN414	40.96
ZJN415	39.41
ZJN416	32.76
ZJN417	23.52
ZJN418	34.84
ZJN421	38.9
ZJN425	43.67
ZJN426	25.69
ZJN427	38.81
ZJN430	47.68
ZJN434	32.66
ZJN440	34.53
ZJN441	22.86
ZJN449	36.82
ZJN450	26.27
ZJN454	23.22
ZJN455	32.66
ZJN456	39.13
ZJN457	23.17
ZJN459	35.04
ZJN467	37.32
ZJN468	36.35
ZJN469	37.41
ZJN472	26.36
ZJN474	29.71
ZJN476	21.97
ZJN477	83.69
ZJN479	31.98
ZJN480	48.17
ZJN483	25.6
ZJN484	37.91
ZJN485	24.53
ZJN486	32.67
ZJN487	23.48
ZJN489	26.25
ZJN490	28.54
ZJN492	34.07
ZJN495	24.53
ZJN500	47.15
ZJN503	39.26
ZJN504	18.51
ZJN513	30.85
ZJN521	32.37
ZJN523	26.01
ZJN524	45.12
ZJN525	32.08
ZJN527	37.8
ZJN534	35.17
ZJN536	45.88
ZJN538	73.7
ZJN540	33.79
ZJN544	49.77
ZJN557	25.37
ZJN568	66.64
ZJN569	33.62
ZJN581	57.59
ZJN582	40.66
ZJN583	31.11
ZJN598	34.99
ZJN601	45.01
ZJN602	45.7
ZJN611	38.38
