samples	Tiller_angle
ZJM951	84.3
ZJM955	83.3
ZJM960	82.3
ZJM962	70.7
ZJM963	80.0
ZJM965	84.0
ZJM966	85.7
ZJM967	77.0
ZJM971	77.7
ZJM972	69.7
ZJM973	83.3
ZJM975	84.0
ZJM977	73.7
ZJM978	77.0
ZJM983	72.7
ZJM985	78.7
ZJM992	84.3
ZJM993	85.7
ZJM996	84.3
ZJM997	77.3
ZJM998	78.3
ZJM1001	78.3
ZJM1003	80.7
ZJM1005	86.3
ZJM1006	86.3
ZJM1008	85.3
ZJM1009	83.7
ZJM1012	75.3
ZJM1014	80.3
ZJM1016	83.7
ZJM1017	83.7
ZJM1021	79.0
ZJM1022	75.0
ZJM1023	78.3
ZJM1024	81.7
ZJM1025	80.0
ZJM1026	73.3
ZJM1027	80.7
ZJM1029	77.7
ZJM1030	79.7
ZJM1033	76.7
ZJM1036	82.7
ZJM1038	79.3
ZJM1039	85.7
ZJM1040	74.3
ZJM1050	83.7
ZJM1061	78.0
ZJM1069	83.3
ZJM1070	82.0
ZJM1072	84.3
ZJM1073	77.0
ZJM1080	80.0
ZJM1081	80.7
ZJM1082	84.0
ZJM1086	81.0
ZJM1089	80.0
ZJM1090	83.0
ZJM1091	84.0
ZJM1092	78.3
ZJM1093	83.0
ZJM1094	78.3
ZJM1096	78.0
ZJM1098	79.7
ZJM1099	82.7
ZJM1102	84.3
ZJM1103	75.0
ZJM1107	80.0
ZJM1108	86.0
ZJM1111	83.0
ZJM1112	80.0
ZJM1115	86.5
ZJM1117	85.5
ZJM1119	85.0
ZJM1120	76.0
ZJM1122	78.3
ZJM1123	81.7
ZJM1138	85.3
ZJM1139	85.3
ZJM1142	85.3
ZJM1144	77.7
ZJM1145	74.0
ZJM1147	80.0
ZJM1148	76.7
ZJM1149	81.0
ZJM1153	79.0
ZJM1154	85.0
ZJM1155	82.0
ZJM1159	80.7
ZJM1160	84.5
ZJM1162	83.7
ZJM1163	77.3
ZJM1166	79.3
ZJM1168	75.0
ZJM1169	85.7
ZJM1172	79.7
ZJM1173	84.0
ZJM1174	82.3
ZJM1179	79.0
ZJM1181	86.0
ZJM1182	83.0
ZJM1183	82.0
ZJM1186	79.7
ZJM1187	81.3
ZJM1188	85.3
ZJM1190	73.7
ZJM1192	85.7
ZJM1193	81.7
ZJM1195	77.5
ZJM1196	72.3
ZJM1198	77.5
ZJM1199	81.5
ZJM1201	77.3
ZJM1202	83.0
ZJM1206	85.5
ZJM1207	73.0
ZJM1211	84.0
ZJM1213	75.7
ZJM1214	73.3
ZJM1215	77.3
ZJM1219	83.0
ZJM1227	80.0
ZJM1228	81.3
ZJM1230	80.0
ZJM1231	84.0
ZJM1234	82.5
ZJM1235	78.3
ZJM1237	75.7
ZJM1241	85.7
ZJM1244	76.0
ZJM1256	86.0
ZJM1259	76.0
ZJM1262	80.0
ZJM1270	84.0
ZJM1272	81.0
ZJM1276	81.3
ZJM1288	85.3
ZJM1291	81.5
ZJM1297	77.3
ZJM1302	81.0
ZJM1318	84.3
ZJM1319	85.3
ZJM1321	86.0
ZJM1324	84.3
ZJM1325	81.7
ZJM1332	86.0
ZJM1335	76.3
ZJM1337	82.3
ZJM1341	73.3
ZJM1344	85.7
ZJM1347	81.0
ZJM1351	78.0
ZJM1373	84.7
ZJM1376	75.0
ZJM1377	72.0
ZJM1381	82.0
ZJM1388	77.0
ZJM1393	80.0
ZJM1412	75.0
ZJM1426	81.3
ZJM1439	78.3
ZJM1441	82.7
ZJM1442	84.0
ZJM1450	84.3
ZJM1457	76.7
ZJM1484	82.7
ZJM1485	81.0
ZJM1486	78.3
ZJN1	80.7
ZJN2	81.7
ZJN12	85.0
ZJN14	87.5
ZJN17	86.0
ZJN19	82.3
ZJN23	83.7
ZJN25	75.0
ZJN28	77.0
ZJN35	71.7
ZJN48	83.7
ZJN53	85.0
ZJN56	82.3
ZJN61	84.3
ZJN64	84.3
ZJN65	84.3
ZJN69	85.7
ZJN71	84.7
ZJN80	83.7
ZJN81	84.0
ZJN86	86.7
ZJN87	85.7
ZJN88	85.7
ZJN94	84.3
ZJN95	81.0
ZJN96	81.3
ZJN101	82.7
ZJN103	86.7
ZJN104	85.0
ZJN107	83.7
ZJN108	84.0
ZJN110	85.0
ZJN113	81.7
ZJN115	80.0
ZJN121	80.7
ZJN122	86.0
ZJN123	85.0
ZJN125	78.7
ZJN126	83.0
ZJN132	85.7
ZJN134	78.7
ZJN136	78.3
ZJN139	84.0
ZJN140	84.0
ZJN144	80.0
ZJN145	84.3
ZJN150	85.0
ZJN151	81.0
ZJN152	85.0
ZJN154	83.3
ZJN155	84.0
ZJN156	81.7
ZJN157	86.0
ZJN158	80.3
ZJN162	79.0
ZJN163	78.0
ZJN166	82.0
ZJN170	74.5
ZJN171	71.5
ZJN174	71.5
ZJN179	77.5
ZJN180	80.0
ZJN182	78.0
ZJN191	75.5
ZJN192	73.5
ZJN195	71.5
ZJN196	72.5
ZJN201	79.5
ZJN206	75.5
ZJN208	76.5
ZJN211	77.0
ZJN214	73.5
ZJN215	78.5
ZJN218	70.5
ZJN219	76.0
ZJN220	77.5
ZJN222	75.0
ZJN223	73.5
ZJN225	76.0
ZJN231	76.0
ZJN232	72.5
ZJN233	75.0
ZJN236	64.0
ZJN240	71.0
ZJN241	75.5
ZJN244	71.0
ZJN247	78.0
ZJN249	77.5
ZJN251	76.5
ZJN253	82.5
ZJN258	80.5
ZJN260	82.0
ZJN262	82.5
ZJN266	86.0
ZJN267	80.5
ZJN270	82.5
ZJN271	79.5
ZJN274	84.0
ZJN276	85.0
ZJN283	81.5
ZJN285	72.5
ZJN287	79.5
ZJN301	82.7
ZJN304	81.7
ZJN307	83.3
ZJN309	84.0
ZJN311	81.0
ZJN313	83.3
ZJN315	81.7
ZJN316	83.7
ZJN319	85.3
ZJN321	81.3
ZJN322	85.0
ZJN323	83.3
ZJN324	82.3
ZJN328	80.0
ZJN331	85.7
ZJN332	80.0
ZJN333	82.0
ZJN334	82.7
ZJN335	79.3
ZJN337	85.0
ZJN338	83.7
ZJN339	84.3
ZJN341	81.7
ZJN344	84.3
ZJN345	81.0
ZJN346	77.3
ZJN348	85.7
ZJN349	79.7
ZJN351	78.3
ZJN353	84.3
ZJN356	85.0
ZJN363	82.7
ZJN372	81.7
ZJN376	83.0
ZJN377	85.0
ZJN378	84.7
ZJN380	79.3
ZJN381	83.3
ZJN382	83.7
ZJN387	85.3
ZJN394	85.7
ZJN396	84.3
ZJN397	81.0
ZJN398	84.3
ZJN399	85.3
ZJN402	84.3
ZJN403	85.0
ZJN409	80.0
ZJN410	84.3
ZJN414	84.3
ZJN415	80.7
ZJN416	81.0
ZJN417	80.0
ZJN418	83.7
ZJN421	78.0
ZJN425	81.3
ZJN426	85.7
ZJN427	79.3
ZJN430	85.7
ZJN434	78.3
ZJN440	86.0
ZJN441	79.0
ZJN449	83.0
ZJN450	83.0
ZJN454	80.0
ZJN455	84.3
ZJN456	83.7
ZJN457	85.3
ZJN459	78.0
ZJN467	83.3
ZJN468	84.7
ZJN469	85.7
ZJN472	84.3
ZJN474	83.7
ZJN476	85.3
ZJN477	81.0
ZJN479	79.7
ZJN480	83.3
ZJN483	81.0
ZJN484	83.3
ZJN485	76.0
ZJN486	83.7
ZJN487	78.3
ZJN489	78.3
ZJN490	76.0
ZJN492	83.3
ZJN495	83.7
ZJN500	82.0
ZJN503	85.7
ZJN504	80.3
ZJN513	82.0
ZJN521	83.3
ZJN523	85.0
ZJN524	80.0
ZJN525	83.3
ZJN527	75.0
ZJN534	81.3
